date,time_et,event_type,ticker,details
2026-01-28,14:00,fomc,,FOMC Meeting January
2026-03-18,14:00,fomc,,FOMC Meeting March
2026-04-29,14:00,fomc,,FOMC Meeting April
2026-06-17,14:00,fomc,,FOMC Meeting June
2026-07-29,14:00,fomc,,FOMC Meeting July
2026-09-16,14:00,fomc,,FOMC Meeting September
2026-11-04,14:00,fomc,,FOMC Meeting November
2026-12-16,14:00,fomc,,FOMC Meeting December
