feature,quantile,feat_lo,feat_hi,n,edge_bps,edge_t,abs_net_bps
ret_21d,0,-0.3314441645675903,-0.05116391018808242,95436,34.25279528543275,7.3522503647393584,222.04467786902612
ret_21d,1,-0.05116020872654603,-0.01569014702655258,95218,24.140930752594112,5.662108681058215,134.75023116934943
ret_21d,2,-0.01562424920975547,0.009885999287495562,94623,19.74840750128632,4.355225543588309,72.6889632177854
ret_21d,3,0.009998774659968124,0.03275715060848006,95131,-2.3753058353375622,-0.44200135874541624,18.228572933383546
ret_21d,4,0.03277465559257964,0.2518501906257009,95022,15.44948368128936,2.6615599107500785,84.33719664680882
ret_63d,0,-0.3052352757868495,-0.0631098520616934,95318,34.0298751058044,6.795631037850485,484.8622365752324
ret_63d,1,-0.0628304672986233,-0.00795380762452469,95508,6.8726978688694205,1.5462539257823291,-47.82604545902872
ret_63d,2,-0.007524134014764372,0.030572305088331753,94444,17.43837125769573,3.971931799813906,39.76967703049466
ret_63d,3,0.03057747489239593,0.06163029017295307,95139,16.361689250895274,3.3680387727332817,20.186354864654668
ret_63d,4,0.0616694171805785,0.39322718098228315,95021,16.572005610333242,2.789641374155108,34.97013205010758
rvol_21d,0,0.03479654478909355,0.10147842862553373,95151,30.973585735212154,6.042749856529448,52.55751656740963
rvol_21d,1,0.10151494827587683,0.13404140951673374,95080,9.082966366448307,1.8010846955305972,27.118354172557666
rvol_21d,2,0.1340692182925086,0.18150187970360382,95093,31.1124389218543,6.304251747574935,58.4394622713142
rvol_21d,3,0.18161462032773992,0.24354172136291855,95245,8.625033639439199,1.9642274799080253,89.94784133221071
rvol_21d,4,0.24368365913202186,0.9328783492007011,94861,11.464010661914875,2.178207487396144,305.1218447998852
dd_252,0,-0.34104746704498434,-0.10492225865922689,96240,36.72571469097473,6.81586221120585,431.78877296971245
dd_252,1,-0.10463928060494576,-0.05942936090933826,93948,-11.339202390132485,-2.689222624149092,-42.97097271391225
dd_252,2,-0.059285365343010765,-0.02577397432670525,95123,39.985202023383856,9.24581789836011,128.98560140894324
dd_252,3,-0.025761124121779888,-0.006247406015858825,95047,10.434107395248331,2.1150113676208573,-0.8196573530367816
dd_252,4,-0.006181057436287718,0.0,95072,14.871883665216982,2.59377057695401,9.864488705186192
rebound_off_low63,0,0.0,0.021426076155727225,95530,36.03416867080918,8.211998666439298,165.0652283684216
rebound_off_low63,1,0.021463843934875104,0.04715457256461231,94706,13.039447836367918,3.0590803316229502,89.3331374884152
rebound_off_low63,2,0.04716285924834196,0.06916516516516524,95117,15.16623752041349,3.3272302036043735,34.728307874256224
rebound_off_low63,3,0.06918836465365619,0.103642355761,95069,31.36224279860507,6.064960214986819,75.62812185893787
rebound_off_low63,4,0.10366339262012225,0.4496523884278987,95008,-4.453015088897294,-0.7215254033765648,167.6230934716089
vol_chg_21,0,-0.6355849320619695,-0.03896029739015544,95166,15.0208391339044,2.8591075161836432,155.86960518481192
vol_chg_21,1,-0.038943355114757855,-0.0015228138766269078,95159,25.85198970220275,5.1357926078754135,62.26894776216425
vol_chg_21,2,-0.0014730508471751114,0.030296043622845298,95232,13.889331052975058,2.8333530194566667,82.19947581878974
vol_chg_21,3,0.030362845196798327,0.0836630210058924,94838,14.641024945215003,2.984491286810248,40.55889227952972
vol_chg_21,4,0.08367549451492948,0.7190105549387252,95035,21.861136776103354,4.663876381070021,191.6584444925359
