month,ret_ks_off,ret_ks_on
2013-11,-0.008102838860136408,-0.008102838860136408
2013-12,0.0039284101688839,0.0039284101688839
2014-01,0.0028410090680237587,0.0028410090680237587
2014-02,0.021197116670895078,0.021197116670895078
2014-03,-0.00224542163773489,-0.00224542163773489
2014-04,0.00010531971685878716,0.00010531971685878716
2014-05,0.007682262351450753,0.007682262351450753
2014-06,0.0047185063013064354,0.0047185063013064354
2014-07,-0.008637996625917466,-0.008637996625917466
2014-08,0.016737193124105598,0.016737193124105598
2014-09,-0.006479161038834835,-0.006479161038834835
2014-10,0.03219552423196026,0.03219552423196026
2014-11,0.0014101226783984622,0.0014101226783984622
2014-12,-0.004574504344017405,-0.004574504344017405
2015-01,0.014395930974426374,0.014395930974426374
2015-02,-0.0011396439892494836,-0.0011396439892494836
2015-03,0.007615402763449852,0.007615402763449852
2015-04,-0.0033951311594511147,-0.0033951311594511147
2015-05,-0.00401923068149046,-0.00401923068149046
2015-06,0.003947519588426873,0.003947519588426873
2015-07,-0.0021600003683476254,-0.0021600003683476254
2015-08,-0.01492010195282123,-0.01492010195282123
2015-09,0.02120521785505325,0.02120521785505325
2015-10,0.015703457277681965,0.015703457277681965
2015-11,-0.006787042891038042,-0.006787042891038042
2015-12,-0.02801943945484764,-0.02801943945484764
2016-01,-0.002066744679279142,-0.002066744679279142
2016-02,0.03912398717533461,0.03912398717533461
2016-03,0.012819181709451843,0.012819181709451843
2016-04,0.006235947090283744,0.006235947090283744
2016-05,0.02214746324730532,0.02214746324730532
2016-06,0.01793168992290539,0.01793168992290539
2016-07,0.013383118592351417,0.013383118592351417
2016-08,0.01202235904654847,0.01202235904654847
2016-09,-0.0036447829926823383,-0.0036447829926823383
2016-10,0.007552930118839285,0.007552930118839285
2016-11,0.01777540959699042,0.01777540959699042
2016-12,-0.001339534046268187,-0.001339534046268187
2017-01,-0.0009085634843669643,-0.0009085634843669643
2017-02,0.0005255659028280402,0.0005255659028280402
2017-03,0.0022115420788886286,0.0022115420788886286
2017-04,0.012116574177056805,0.012116574177056805
2017-05,0.004619913132966058,0.004619913132966058
2017-06,6.26167361079677e-05,6.26167361079677e-05
2017-07,-0.0008999862111011003,-0.0008999862111011003
2017-08,0.0025387204660443086,0.0025387204660443086
2017-09,0.02815132338125559,0.02815132338125559
2017-10,-0.0015461750808369867,-0.0015461750808369867
2017-11,0.004776663661507863,0.004776663661507863
2017-12,0.007801873061072939,0.007801873061072939
2018-01,-0.008342239269806151,-0.008342239269806151
2018-02,0.014961428557485279,0.014961428557485279
2018-03,-0.001196944214866047,-0.001196944214866047
2018-04,0.005118667355499484,0.005118667355499484
2018-05,0.002509923612777465,0.002509923612777465
2018-06,0.006487330042720618,0.006487330042720618
2018-07,0.003835278235066575,0.003835278235066575
2018-08,0.0007372480380902768,0.0007372480380902768
2018-09,-0.019033638856652768,-0.019033638856652768
2018-10,0.005070781445810191,0.005070781445810191
2018-11,-0.02576697715213061,-0.02576697715213061
2018-12,0.022215822217239056,0.022215822217239056
2019-01,0.040783401968935484,0.040783401968935484
2019-02,-0.0012936324426636725,-0.0012936324426636725
2019-03,0.011614564144802886,0.011614564144802886
2019-04,0.00039484567046743635,0.00039484567046743635
2019-05,0.003867847505474087,0.003867847505474087
2019-06,0.013547630074546513,0.013547630074546513
2019-07,-0.0016230606122259461,-0.0016230606122259461
2019-08,0.01303804341535808,0.01303804341535808
2019-09,0.002687823454894822,0.002687823454894822
2019-10,0.022507774491299593,0.022507774491299593
2019-11,0.00453601961502037,0.00453601961502037
2019-12,-0.004799137442493051,-0.004799137442493051
2020-01,-0.024000351450938262,-0.024000351450938262
